book,book_full,chapter,unit_idx,p_jewish,p_gentile,uncertainty,confidence,label,n_tokens,text
Matt,Matthew,1,1,0.5579,0.4421,0.1206,MED,Jewish,8,Βίβλος γενέσεως Ἰησοῦ χριστοῦ υἱοῦ Δαυὶδ υἱοῦ Ἀβραάμ.
Matt,Matthew,1,1,0.9736,0.0264,0.0343,HIGH,Jewish,10,"Ἀβραὰμ ἐγέννησεν τὸν Ἰσαάκ, Ἰσαὰκ δὲ ἐγέννησεν τὸν Ἰακώβ, Ἰακὼβ"
Matt,Matthew,1,2,0.9626,0.0374,0.0412,HIGH,Jewish,10,"δὲ ἐγέννησεν τὸν Ἰακώβ, Ἰακὼβ δὲ ἐγέννησεν τὸν Ἰούδαν καὶ"
Matt,Matthew,1,3,0.9672,0.0328,0.0414,HIGH,Jewish,8,"δὲ ἐγέννησεν τὸν Ἰούδαν καὶ τοὺς ἀδελφοὺς αὐτοῦ,"
Matt,Matthew,1,1,0.998,0.002,0.0011,HIGH,Jewish,10,Ἰούδας δὲ ἐγέννησεν τὸν Φαρὲς καὶ τὸν Ζάρα ἐκ τῆς
Matt,Matthew,1,2,0.9198,0.0802,0.054,MED,Jewish,10,"καὶ τὸν Ζάρα ἐκ τῆς Θαμάρ, Φαρὲς δὲ ἐγέννησεν τὸν"
Matt,Matthew,1,3,0.7427,0.2573,0.1571,LOW,Jewish,10,"Θαμάρ, Φαρὲς δὲ ἐγέννησεν τὸν Ἑσρώμ, Ἑσρὼμ δὲ ἐγέννησεν τὸν"
Matt,Matthew,1,4,0.7513,0.2487,0.1461,MED,Jewish,6,"Ἑσρώμ, Ἑσρὼμ δὲ ἐγέννησεν τὸν Ἀράμ,"
Matt,Matthew,1,1,0.9464,0.0536,0.0277,HIGH,Jewish,10,"Ἀρὰμ δὲ ἐγέννησεν τὸν Ἀμιναδάβ, Ἀμιναδὰβ δὲ ἐγέννησεν τὸν Ναασσών,"
Matt,Matthew,1,2,0.9147,0.0853,0.0449,HIGH,Jewish,10,"Ἀμιναδὰβ δὲ ἐγέννησεν τὸν Ναασσών, Ναασσὼν δὲ ἐγέννησεν τὸν Σαλμών,"
Matt,Matthew,1,1,0.9684,0.0316,0.0192,HIGH,Jewish,10,"Σαλμὼν δὲ ἐγέννησεν τὸν ⸂Βόες ἐκ τῆς Ῥαχάβ, Βόες⸃ δὲ"
Matt,Matthew,1,2,0.9513,0.0487,0.0329,HIGH,Jewish,10,"ἐκ τῆς Ῥαχάβ, Βόες⸃ δὲ ἐγέννησεν τὸν ⸂Ἰωβὴδ ἐκ τῆς"
Matt,Matthew,1,3,0.9853,0.0147,0.0113,HIGH,Jewish,10,"ἐγέννησεν τὸν ⸂Ἰωβὴδ ἐκ τῆς Ῥούθ, Ἰωβὴδ⸃ δὲ ἐγέννησεν τὸν"
Matt,Matthew,1,4,0.7672,0.2328,0.1873,LOW,Jewish,6,"Ῥούθ, Ἰωβὴδ⸃ δὲ ἐγέννησεν τὸν Ἰεσσαί,"
Matt,Matthew,1,1,0.8878,0.1122,0.0815,MED,Jewish,10,Ἰεσσαὶ δὲ ἐγέννησεν τὸν Δαυὶδ τὸν βασιλέα. Δαυὶδ ⸀δὲ ἐγέννησεν
Matt,Matthew,1,2,0.99,0.01,0.009,HIGH,Jewish,10,τὸν βασιλέα. Δαυὶδ ⸀δὲ ἐγέννησεν τὸν Σολομῶνα ἐκ τῆς τοῦ
Matt,Matthew,1,3,0.9786,0.0214,0.0229,HIGH,Jewish,6,"τὸν Σολομῶνα ἐκ τῆς τοῦ Οὐρίου,"
Matt,Matthew,1,1,0.9464,0.0536,0.0277,HIGH,Jewish,10,"Σολομὼν δὲ ἐγέννησεν τὸν Ῥοβοάμ, Ῥοβοὰμ δὲ ἐγέννησεν τὸν Ἀβιά,"
Matt,Matthew,1,2,0.9147,0.0853,0.0449,HIGH,Jewish,10,"Ῥοβοὰμ δὲ ἐγέννησεν τὸν Ἀβιά, Ἀβιὰ δὲ ἐγέννησεν τὸν ⸂Ἀσάφ,"
Matt,Matthew,1,1,0.9464,0.0536,0.0277,HIGH,Jewish,10,"Ἀσὰφ⸃ δὲ ἐγέννησεν τὸν Ἰωσαφάτ, Ἰωσαφὰτ δὲ ἐγέννησεν τὸν Ἰωράμ,"
Matt,Matthew,1,2,0.9147,0.0853,0.0449,HIGH,Jewish,10,"Ἰωσαφὰτ δὲ ἐγέννησεν τὸν Ἰωράμ, Ἰωρὰμ δὲ ἐγέννησεν τὸν Ὀζίαν,"
